Name,Qless,Url
University of Alaska Anchorage,,https://www.uaa.alaska.edu/
University of Alaska Fairbanks,,https://www.uaf.edu/
University of Alaska Southeast,,https://uas.alaska.edu/
Alaska Bible College,,https://www.akbible.edu/admissions/
Alaska Pacific University,,https://www.alaskapacific.edu/
Saint Herman Theological Seminary,,https://www.sthermanseminary.org/
Wayland Baptist University,,https://www.wbu.edu/admissions/new-students.htm
Iḷisaġvik College,,https://www.ilisagvik.edu/
Kenai Peninsula College,,https://kpc.alaska.edu/
Kodiak College,,https://koc.alaska.edu/student-support/student-services/
Matanuska–Susitna College,,https://matsu.alaska.edu/
Prince William Sound College,,https://pwsc.alaska.edu/
Charter College,,
Alaska Career College,,https://www.alaskacareercollege.edu/
Arizona State University,,https://tuition.asu.edu/financial-aid
Northern Arizona University,,https://www.southmountaincc.edu/become-student/advising/transfer/nau
University of Arizona,,
Arizona Christian University,,https://www.arizonachristian.edu/
Benedictine University at Mesa,,https://ben.edu/about/campus-locations/mesa-campus/
Embry-Riddle Aeronautical University,,https://worldwide.erau.edu/
Prescott College,,https://prescott.edu/
Ottawa University,Yes,https://www.uottawa.ca/en/contact/virtual-line
Park University,,https://www.park.edu/admissions/enrollment-services/
A.T. Still University,,https://qless.com/queue-management-for-universities-schools/
Cummings Graduate Institute for Behavioral Health Studies,,https://cgi.edu/
Fuller Theological Seminary,,https://www.fuller.edu/
Midwestern University,,https://www.midwestern.edu/about/offices-and-services-directory/office-of-student-financial-services
Phoenix Seminary,Yes,https://www.phoenixcollege.edu/current-students/student-support-services/qless
Southwest College of Naturopathic Medicine,,https://www.sonoran.edu/
The School of Architecture,,https://qless.com/qless-is-the-student-information-management-system-your-school-needs/
Arizona College of Nursing,,https://www.arizonacollege.edu/
Brookline College,,https://www.brooklinecollege.edu/
Bryan University,,https://bryanuniversity.edu/
Carrington College,,https://carrington.edu/admissions/
Chamberlain College of Nursing,,https://www.chamberlain.edu/
DeVry University,,https://www.devry.edu/students/resources-and-tools.html
Grand Canyon University,,https://www.gcu.edu/about/contact
Sessions College for Professional Design,,https://www.sessions.edu/
Universal Technical Institute,,https://www.uti.edu/
University of Advancing Technology,,https://www.uat.edu/
University of Phoenix,Yes,https://www.phoenixcollege.edu/current-students/student-support-services/qless
International Baptist College and Seminary,,https://www.ibcs.edu/
Arizona Western College,,https://www.azwestern.edu/front
Central Arizona College,,https://centralaz.edu/admission-re-direct/
Cochise College,,https://www.cochise.edu/admissions/
Coconino Community College,,https://www.coconino.edu/advising
Eastern Arizona College,,https://www.eac.edu/
Maricopa County Community College District,Yes,https://www.mesacc.edu/qless
Mohave Community College,,https://www.mohave.edu/resources/faq/
Northland Pioneer College,,https://www.npc.edu/
Pima Community College,,https://www.pima.edu/student-resources/advising/index.html
Yavapai College,,https://www.yc.edu/become
Diné College,,https://www.dinecollege.edu/
Tohono O'odham Community College,,https://tocc.edu/
Chandler-Gilbert Community College,,https://www.cgc.edu/
Estrella Mountain Community College,,https://www.estrellamountain.edu/
GateWay Community College,,https://www.gatewaycc.edu/
Glendale Community College,Yes,https://www.gccaz.edu/students/qless
Mesa Community College,Yes,https://www.mesacc.edu/qless
Paradise Valley Community College,,https://www.paradisevalley.edu/
