Name,LivePerson,Website
Trebas Institute,,https://trebasweb.azurewebsites.net/contact-us
M College of Canada,,https://canadacollege.edu/
Bethany College,403,https://www.bethanywv.edu/about-bethany/contact-directions/contact-us/
Briercrest College and Seminary,,https://www.briercrestcollege.ca/contact/
Carlton Trail College,,https://www.carltontrailcollege.com/contact-us
Horizon College and Seminary,,https://www.horizon.edu/students/support/
College Mathieu,,https://free-apply.com/en/university/1012400083
Cumberland College,,https://www.cumberland.edu/admissions/
Eston College,403,https://estoncollege.ca/contact/
Great Plains College,,https://www.greatplainscollege.ca/
Lakeland College,,https://www.lakelandcollege.edu/student-accommodations/support-services/
Nipawin Bible College,,https://nipawin.org/
North West College,,https://www.nw.edu/contact/
Northlands College,,https://my.northland.edu/
Parkland College,,https://www.parkland.edu/Main/About-Parkland/Department-Office-Directory/Campus-Technologies/Tech-Service-Desk
St Peter's College,,https://www.saintpeters.edu/enrollment-services/
Saskatchewan Indian Institute of Technologies,,https://www.facebook.com/SIITLive/
Saskatchewan Polytechnic,,https://saskpolytech.ca/student-services/support/chat.aspx
Southeast College,,https://helpdesk.southeast.edu/index.php/chat-with-us/
Western Academy Broadcasting College,,https://www.wabcwesternacademy.com/
