Name,Qless,Url
University of Houston,Yes,https://uh.edu/af/news/press-releases/releases-articles/2020-press-releases/qless-coog-services.php
University of Houston–Clear Lake,,https://www.uhcl.edu/
University of Houston–Downtown,,https://www.uhd.edu/provost/Pages/virtual-lobby.aspx
University of Houston–Victoria,,https://www.uhv.edu/
University of North Texas,,https://appointment.unt.edu/
University of North Texas at Dallas,Yes,https://www.dallascollege.edu/resources/qless/pages/default.aspx
University of North Texas Health Science Center,,https://www.unthsc.edu/
University of Texas at Arlington,,https://www.uta.edu/
University of Texas at Austin,,https://moody.utexas.edu/academics/undergraduate/academic-advising/waitwell-instructions
University of Texas at Dallas,Yes,https://www.dallascollege.edu/resources/qless/pages/default.aspx
University of Texas at El Paso,Yes,https://www.utep.edu/ses/qless.html
University of Texas at San Antonio,Yes,https://onestop.utsa.edu/contact/onestopq/
University of Texas at Tyler,,https://www.uttyler.edu/
University of Texas Permian Basin,,https://www.utpb.edu/
University of Texas Rio Grande Valley,,https://www.utrgv.edu/
Texas A&M International University,,https://www.tamu.edu/
Texas A&M University,,https://www.tamu.edu/
Texas A&M University–Commerce,,https://www.tamu.edu/
Texas A&M University–Corpus Christi,,https://www.tamu.edu/
Texas A&M University–San Antonio,,https://www.tamu.edu/
Texas A&M University–Kingsville,,https://www.tamu.edu/
Prairie View A&M University,,https://www.pvamu.edu/
Tarleton State University,,https://www.tarleton.edu/finaid/
Texas A&M University–Texarkana,,https://www.tamu.edu/
West Texas A&M University,,https://www.wtamu.edu/
Texas A&M University–Central Texas,,https://www.tamu.edu/
Lamar University,,https://www.lamar.edu/advising/schedule-appointment/index.html
Sam Houston State University,,https://www.shsu.edu/dept/financial-aid/aid/bearkatpromise
Sul Ross State University,,https://www.sulross.edu/
Texas State University,,https://www.finaid.txst.edu/
Angelo State University,,https://www.angelo.edu/admissions-and-aid/paying-for-college/office-of-financial-aid-and-scholarships/
Texas Tech University,Yes,https://techannounce.ttu.edu/Client/ViewMessage.aspx?MsgId=255979
Midwestern State University,,https://msutexas.edu/finaid/
Texas Tech University Health Sciences Center,Yes,https://techannounce.ttu.edu/Client/ViewMessage.aspx?MsgId=255979
Texas Tech University Health Sciences Center El Paso,,https://elpaso.ttuhsc.edu/
Texas Woman's University,,https://twu.edu/finaid/
Stephen F. Austin State University,,https://www.sfasu.edu/
Texas Southern University,,https://www.tsu.edu/
Abilene Christian University,,https://acu.edu/student-life/wildcat-central/academic-advising/
Baylor University,Yes,https://news.bswhealth.com/releases/baylor-scott-white-health-introduces-qless-technology-in-college-station
Dallas Baptist University,,https://www.dbu.edu/advising-center/
Rice University,,https://oaa.rice.edu/
St. Edward's University,,https://www.stedwards.edu/
Southern Methodist University,,https://www.smu.edu/Admission/ConnectWithUs/FAQ
Texas Christian University,,https://financialaid.tcu.edu/
University of the Incarnate Word,,https://www.uiw.edu/
Houston Christian University,,https://hc.edu/
Amberton University,,https://www.amberton.edu/
Arlington Baptist College,,https://www.abu.edu/
Austin Graduate School of Theology,,https://austingrad.academia.edu/
Bakke Graduate University,,https://bgu.edu/
