Name,City,County,Founded,Carnegie Classification[a],Profit[b],Athletics,Affiliation,Notes
New York Film Academy,Los Angeles,Los Angeles,1992,"Special Focus Four-Year: Arts, Music & Design Schools",for-profit,---,---,Film
NewSchool of Architecture and Design,San Diego,San Diego,1980,"Special Focus Four-Year: Arts, Music & Design Schools",for-profit,---,Laureate International Universities,Arts & design
Northwestern Polytechnic University,Fremont,Alameda,1984,Not classified,not-for-profit,---,---,Business & engineering
Notre Dame de Namur University,Belmont,San Mateo,1851,Master's Colleges & Universities: Larger Programs,not-for-profit,---,Roman Catholic (Sisters of Notre Dame de Namur),---
Oak Valley College,San Dimas,San Bernardino,2016,Not classified,not-for-profit,---,Christian,Business
Occidental College,Los Angeles,Los Angeles,1887,Baccalaureate Colleges: Arts & Sciences Focus,not-for-profit,NCAA Div. III,---,---
Oikos University,Oakland,Alameda,2004,Not classified,not-for-profit,---,---,---
Open Christian University,Laguna Beach,Orange County,2023,Exempt Religious Provider,not-for-profit,---,Non-Denominational Institution,---
Otis College of Art and Design,Westchester,Los Angeles,1918,"Special Focus Four-Year: Arts, Music & Design Schools",not-for-profit,---,---,Arts & design
Pacific Lutheran Theological Seminary,Berkeley,Alameda,1950,Special Focus Four-Year: Faith-Related Institutions,not-for-profit,---,"Evangelical Lutheran Church in America, California Lutheran University",---
Pacific Oaks College,Pasadena,Los Angeles,1958,Special Focus Four-Year: Other Special Focus Institutions,not-for-profit,---,---,"Education, psychology, social justice"
Pacific School of Religion,Berkeley,Alameda,1866,Special Focus Four-Year: Faith-Related Institutions,not-for-profit,---,"United Church of Christ, United Methodist Church, Disciples of Christ",---
Pacific Union College,Angwin,Napa,1882,Baccalaureate Colleges: Arts & Sciences Focus,not-for-profit,NAIA,Seventh-day Adventist Church,---
Pacifica Graduate Institute,Santa Barbara,Santa Barbara,1976,Special Focus Four-Year: Other Health Professions Schools,for-profit,---,---,Psychology
Palmer College of Chiropractic,San Jose,Santa Clara,1980,Special Focus Four-Year: Other Health Professions Schools,not-for-profit,---,---,Doctor of Chiropractic
Palo Alto University,Palo Alto,Santa Clara,1975,Special Focus Four-Year: Other Health Professions Schools,not-for-profit,---,---,Psychology
Patten University,Oakland,Alameda,1944,Baccalaureate Colleges (Diverse Fields),for-profit,---,---,No longer enrolling students
Pepperdine University,Malibu,Los Angeles,1937,Doctoral Universities: Moderate Research Activity,not-for-profit,NCAA Div. I,Churches of Christ,---
Pitzer College,Claremont,Los Angeles,1963,Baccalaureate Colleges: Arts & Sciences Focus,not-for-profit,NCAA Div. III,Claremont Colleges,---
Point Loma Nazarene University,San Diego,San Diego,1902,Master's Colleges & Universities: Larger Programs,not-for-profit,NCAA Div. II,Church of the Nazarene,---
Pomona College,Claremont,Los Angeles,1887,Baccalaureate Colleges: Arts & Sciences Focus,not-for-profit,NCAA Div. III,Claremont Colleges,---
Providence Christian College,Pasadena,Los Angeles,2002,Baccalaureate Colleges: Arts & Sciences Focus,not-for-profit,NAIA,Christian (non-denominational),---
Saint Mary's College of California,Moraga,Contra Costa,1863,Master's Colleges & Universities: Larger Programs,not-for-profit,NCAA Div. I,Roman Catholic (De La Salle Brothers),---
Samuel Merritt University,Oakland,Alameda,1909,Special Focus Four-Year: Other Health Professions Schools,not-for-profit,---,---,"Nursing, health sciences"
San Diego Christian College,Santee,San Diego,1970,Baccalaureate Colleges: Diverse Fields,not-for-profit,NAIA,Christian,---
San Diego University for Integrative Studies,San Diego,San Diego,1999,Not classified,---,---,---,---
San Francisco Institute of Architecture,Berkeley,Alameda,1990,Not classified,---,---,---,Online
San Joaquin College of Law,Clovis,Fresno,1969,Special Focus Four-Year: Law Schools,not-for-profit,---,---,---
Santa Clara University,Santa Clara,Santa Clara,1851,Master's Colleges & Universities: Larger Programs,not-for-profit,NCAA Div. I,Roman Catholic (Society of Jesus (Jesuits)),---
Saybrook University,Oakland,Alameda,1971,Special Focus Four-Year: Other Health Professions Schools,not-for-profit,---,---,Psychology & health sciences; online
Scripps College,Claremont,Los Angeles,1926,Baccalaureate Colleges: Arts & Sciences Focus,not-for-profit,NCAA Div. III,Claremont Colleges,---
Simpson University,Redding,Shasta,1921,Master's Colleges & Universities: Small Programs,not-for-profit,NAIA,Christian and Missionary Alliance,---
Soka University of America,Aliso Viejo,Orange,2001,Baccalaureate Colleges: Arts & Sciences Focus,not-for-profit,NAIA,---,---
Southern California Institute of Architecture,Los Angeles,Los Angeles,1972,"Special Focus Four-Year: Arts, Music & Design Schools",not-for-profit,---,---,Architecture
Southern States University,San Diego,San Diego,1983,Not classified,for-profit,---,---,---
Southwestern Law School,Los Angeles,Los Angeles,1972,Special Focus Four-Year: Law Schools,not-for-profit,---,---,Law School
Stanford University,Stanford,Santa Clara,1891,Doctoral Universities: Highest Research Activity,not-for-profit,NCAA Div. I FBS,---,---
Starr King School for Ministry,Berkeley,Alameda,1904,Special Focus Four-Year: Faith-Related Institutions,not-for-profit,---,Unitarian Universalist,---
Thomas Aquinas College,Santa Paula,Ventura,1971,Baccalaureate Colleges: Arts & Sciences Focus,not-for-profit,---,Roman Catholic,---
Touro University California,Vallejo,Solano,1997,Special Focus Four-Year: Medical Schools & Centers,not-for-profit,---,Judaism,---
Trident University International,Cypress,Orange,1998,Doctoral Universities: Moderate Research Activity,for profit,---,---,Online
University of Massachusetts Global,Multiple locations,---,2009,Master's Colleges & Universities: Larger Programs,not-for-profit,---,---,---
Union Institute & University,Multiple Locations,---,1964,Doctoral Universities: Moderate Research Activity,not-for-profit,---,---,---
University of Antelope Valley,Lancaster,Los Angeles,1997,Baccalaureate/Associate's Colleges: Mixed Baccalaureate/Associate's,for-profit,NAIA,---,---
University of La Verne,La Verne,Los Angeles,1891,Doctoral/Professional Universities,not-for-profit,NCAA Div. III,Church of the Brethren,---
University of Redlands,Redlands,San Bernardino,1907,Master's Colleges & Universities: Larger Programs,not-for-profit,NCAA Div. III,---,---
University of San Diego,San Diego,San Diego,1949,Doctoral Universities: Moderate Research Activity,not-for-profit,NCAA Div. I FCS,Roman Catholic,---
University of San Francisco,San Francisco,San Francisco,1855,Doctoral Universities: Moderate Research Activity,not-for-profit,NCAA Div. I,Roman Catholic (Society of Jesus (Jesuits)),
University of Silicon Valley,Sunnyvale,Santa Clara,1887,Baccalaureate Colleges: Diverse Fields,for-profit,---,---,---
University of Southern California,Los Angeles,Los Angeles,1880,Doctoral Universities: Highest Research Activity,not-for-profit,NCAA Div. I FBS,---,---
University of the Pacific,Stockton,San Joaquin,1851,Doctoral Universities: Moderate Research Activity,not-for-profit,NCAA Div. I,---,---
University of the People,Pasadena,Los Angeles,2009,Master's Colleges & Universities: Small Programs,not-for-profit,---,---,Online
University of the West,Rosemead,Los Angeles,1990,Baccalaureate Colleges: Diverse Fields,not-for-profit,---,Buddhism (Fo Guang Shan),---
University of West Los Angeles,Inglewood,Los Angeles,1966,Special Focus Institutions (Law),for-profit,---,---,Law & business
Vanguard University,Costa Mesa,Orange,1920,Master's Colleges & Universities: Small Programs,not-for-profit,NAIA,Assemblies of God,---
"Western Seminary, Sacramento Campus",Sacramento,Sacramento,1927,Special Focus Four-Year: Faith-Related Institutions,not-for-profit,---,Christian,---
"Western Seminary, San Jose Campus",Santa Clara,Santa Clara,1927,Special Focus Four-Year: Faith-Related Institutions,not-for-profit,---,Christian,---
Western State College of Law,Fullerton,Orange,1966,Special Focus Four-Year: Law Schools,for-profit,---,Westcliff University,Law
Western University of Health Sciences,Pomona,Los Angeles,1977,Special Focus Four-Year: Medical Schools & Centers,not-for-profit,---,---,---
Westcliff University,Irvine,Orange,1993,Special Focus Four-Year: Business & Management Schools,for-profit,NAIA,---,Business and education
Westmont College,Montecito,Santa Barbara,1937,Baccalaureate Colleges: Arts & Sciences Focus,not-for-profit,NAIA,Evangelical Christian,---
Whittier College,Whittier,Los Angeles,1887,Baccalaureate Colleges: Arts & Sciences Focus,not-for-profit,NCAA Div. III,---,---
Woodbury University,Burbank,Los Angeles,1884,Master's Colleges & Universities: Medium Programs,not-for-profit,---,---,---
Zaytuna College,Berkeley,Alameda,2008,Not classified,not-for-profit,---,Islam,---
