Name,LivePerson,Website
Emmanuel College,,https://www.emmanuel.edu/discover-emmanuel/offices-and-services/information-technology/contact-us.html
Endicott College,,https://www.endicott.edu/admission/plan-a-visit/connect-with-a-student
Fisher College,,https://www.fisher.edu/about/contact-us
Fitchburg State University,,https://www.fitchburgstate.edu/campus-life/campus-services/technology
Framingham State University,,https://www.framingham.edu/student-life/information-technology-services/contact/
Gordon College,,https://www.gordon.edu/computersupport
Gordon–Conwell Theological Seminary,,https://www.gordonconwell.edu/live/
Greenfield Community College,,https://www.gcc.mass.edu/
Hampshire College,,https://www.hampshire.edu/it/user-support/get-help
Harvard University,,https://college.harvard.edu/contact-us
Hebrew College,,https://hebrewcollege.edu/admissions/
Hellenic College Holy Cross Greek Orthodox School of Theology,,https://www.hchc.edu/
Holyoke Community College,,https://www.hcc.edu/help-desk
Hult International Business School,,https://www.hult.edu/contact-us/
Labouré College,,https://www.laboure.edu/about-laboure/it-helpdesk
Lasell University,ERROR,
Lesley University,,https://lesley.edu/faculty-staff/technology/information-technology/technology-support
Longy School of Music of Bard College,403,https://longy.edu/
Massachusetts Bay Community College,,https://www.massbay.edu/help/chat
Massachusetts College of Art and Design,,https://massart.edu/contactmassart
Massachusetts College of Liberal Arts,,https://www.mcla.edu/student-services/academic-advising-and-support/index.php
Massachusetts Institute of Technology,,https://www.mit.edu/contact/
Massachusetts Maritime Academy,,https://www.maritime.edu/
Massachusetts School of Law,403,https://www.mslaw.edu/
Massasoit Community College,ERROR,
Massachusetts College of Pharmacy and Health Sciences,,https://www.mcphs.edu/
Merrimack College,,https://www.merrimack.edu/about/offices_services/office-of-wellness-education/support-a-friend/
MGH Institute of Health Professions,,https://helpdesk.mghihp.edu/
Middlesex Community College,403,https://mxcc.edu/contact/chat/
Montserrat College of Art,,https://www.montserrat.edu/
Mount Holyoke College,,https://www.mtholyoke.edu/admission/visting-or-connecting-mount-holyoke/chat-student
Mount Wachusett Community College,,https://mwcc.edu/live-tv/
New England College of Optometry,,https://www.neco.edu/
New England Conservatory of Music,,https://necmusic.edu/
New England Law Boston,,https://www.nesl.edu/about/contact
Nichols College,,https://nicholsathletics.com/coverage
North Shore Community College,,https://www.northshore.edu/support/advising/chat.html
Northeastern University,,https://service.northeastern.edu/$sn-va-web-client-app.do
Northern Essex Community College,,https://www.necc.mass.edu/current-students/student-resources/online-learning-hub/get-live-help/
Northpoint Bible College,403,https://northpoint.edu/live-stream/
Olin College,,https://www.olin.edu/contact-us
Quincy College,,http://quincycollege.edu/student-services/
Quinsigamond Community College,,https://www.qcc.edu/help
Regis College,,https://www.regiscollege.edu/regis-life/life-campus/information-technology-services
Roxbury Community College,,https://www.rcc.mass.edu/
Saint John's Seminary,,https://www.sjs.edu/
Salem State University,,https://ask.salemstate.edu/kb/it-help-desk
Simmons University,,https://www.simmons.edu/your-simmons/student-support-resources/technology-support
Smith College,,https://www.smith.edu/its/contactus.html
Springfield College,,https://springfield.edu/contact-us
Springfield Technical Community College,,https://www.stcc.edu/chat-with-an-advisor/
Stonehill College,,https://www.stonehill.edu/offices-and-services/ssc/support-for-students/
Suffolk University,,https://www.suffolk.edu/about/contact-us
Tufts University,,https://access.tufts.edu/contact-tufts-technology-services-tts
University of Massachusetts Amherst,,https://www.umass.edu/afsystems/chat
University of Massachusetts Boston,,https://www.umb.edu/it/help/chat
University of Massachusetts Dartmouth,,https://apply.umassd.edu/portal/college_now_live_chat
University of Massachusetts Lowell,,https://www.uml.edu/thesolutioncenter/contact.aspx
University of Massachusetts Medical School,,https://www.umassmed.edu/it/
Urban College of Boston,,https://www.urbancollege.edu/
Wellesley College,,https://www.wellesley.edu/admission/contact
Wentworth Institute of Technology,,https://wit.edu/about/technology-services/tech-spot
Western New England University,,https://wne.edu/academics/student-support/index.cfm
Westfield State University,,https://www.westfield.ma.edu/offices/technology-support
Wheaton College,,https://www.wheaton.edu/academics/services/academic-and-institutional-technology/support-and-services/
William James College,ERROR,
Williams College,,https://myadmission.williams.edu/portal/ephchat
Worcester Polytechnic Institute,,https://www.wpi.edu/about/innovation-entrepreneurship/programs/chat-to-connect
Worcester State University,,https://www.worcester.edu/information-technology/it-help-desk-ticket/
Great Bay Community College,403,https://www.greatbay.edu/current-students/technology/technology-help-desk/
Lakes Region Community College,403,https://www.lrcc.edu/contact/
Manchester Community College,ERROR,
Nashua Community College,403,https://nashuacc.edu/
"NHTI, Concord's Community College",403,https://www.nhti.edu/thebigchat/
River Valley Community College,403,https://www.rivervalley.edu/student-support/it-helpdesk/
White Mountains Community College,403,https://www.wmcc.edu/contact/
Granite State College,,https://catalog.granite.edu/graduate/student-support-campus-resources/
Keene State College,,https://myksc.keene.edu/s/contactsupport
Plymouth State University,,https://www.plymouth.edu/contact-us
University of New Hampshire,,https://www.unh.edu/main/contact-us
University of New Hampshire at Manchester,,https://www.unh.edu/main/contact-us
University of New Hampshire School of Law,,https://www.unh.edu/main/contact-us
Antioch University New England,403,https://www.antioch.edu/new-england/
Colby-Sawyer College,,https://www.colby-sawyerathletics.com/coverage
Dartmouth College,,https://www.dartmouth.edu/library/biomed/services/chat.html
Franklin Pierce University,,https://www.franklinpierce.edu/webcast/index.html
Hellenic American University,,https://www.hauniv.edu/
Magdalen College of the Liberal Arts,403,https://magdalen.edu/
New England College,403,https://www.nec.edu/contact-us
Rivier University,403,https://www.rivier.edu/contact-us/
Saint Anselm College,,https://www.anselm.edu/
Southern New Hampshire University,,https://www.snhu.edu/about-us/contact-us
Thomas More College of Liberal Arts,403,https://thomasmorecollege.edu/
The College of New Jersey,,https://give.tcnj.edu/contact/
Kean University,403,https://kean.edusupportcenter.com/
Montclair State University,,https://www.montclair.edu/university-college/contact-us/
New Jersey City University,,https://www.njcu.edu/about/contact-us
New Jersey Institute of Technology,,https://online.njit.edu/contact-us
Ramapo College,,https://www.ramapo.edu/careercenter/chat/
Rowan University,,https://irt.rowan.edu/help/
Rutgers University,,https://sasundergrad.rutgers.edu/chat
Stockton University,,https://stockton.edu/information-technology/request-help.html
Thomas Edison State University,,https://www.tesu.edu/about/Contact-Us
William Paterson University,,https://www.wpunj.edu/reslife/chat
Bloomfield College,,https://bloomfield.edu/help-desk
Caldwell University,,https://caldwellathletics.com/coverage
Centenary University,,http://my.centenaryuniversity.edu/support/
Drew University,403,https://drew.edu/university-technology/contact-us/
Fairleigh Dickinson University,,https://www.fdu.edu/admissions/chat-with-an-fdu-student/
Felician University,,https://felician.edu/admissions/undergraduate-admissions/chat-with-us/
Georgian Court University,403,https://georgian.edu/
Monmouth University,,https://www.monmouth.edu/technology/support/
Princeton University,,https://admission.princeton.edu/contact-us
Rider University,,https://www.rider.edu/admissions/contact
Saint Elizabeth University,,https://seueagles.com/coverage
St. Peter's University,,https://saintpeterspeacocks.com/coverage
