Name,Qless,Url
Chicago State University,,https://www.csu.edu/admissions/undergraduate/faqs.htm
Eastern Illinois University,,https://www.eiu.edu/
Governors State University,,https://www.govst.edu/Contact/
Illinois State University,,https://financialaid.illinoisstate.edu/contact/
University of Illinois at Chicago,,https://www.uic.edu/
University of Illinois Springfield,,https://www.uis.edu/
University of Illinois Urbana-Champaign,,https://illinois.edu/
Northeastern Illinois University,,https://www.neiu.edu/
Northern Illinois University,,https://www.niu.edu/advising/index.shtml
Southern Illinois University Carbondale,,https://siu.edu/
Southern Illinois University Edwardsville,,https://www.siue.edu/
Western Illinois University,,https://www.wiu.edu/qc/
Adler University,,https://www.adler.edu/
American Islamic College,,https://aicusa.edu/
Augustana College,,https://www.augustana.edu/admissions
Aurora University,,https://aurora.edu/
Benedictine University,,https://ben.edu/academics/advising-center/
Blackburn College,,https://blackburn.edu/confirm-your-enrollment/
Bradley University,,https://www.bradley.edu/offices/student/sfs/
The Chicago School of Professional Psychology,,https://www.thechicagoschool.edu/
University of Chicago,,https://qless.com/queue-management-for-universities-schools/
Columbia College Chicago,,https://www.colum.edu/
Concordia University Chicago,,https://www.cuchicago.edu/
DePaul University,,https://offices.depaul.edu/global-engagement/student-resources/student-services/Pages/advising-services.aspx
Dominican University,,https://www.dom.edu/academics/advising-and-student-development/advising
East–West University,,https://www.eastwest.edu/faq
Elmhurst University,,https://www.elmhurst.edu/
Erikson Institute,,https://www.erikson.edu/
Eureka College,,https://www.eureka.edu/
Greenville University,Yes,https://www.gvltec.edu/admissions_aid/qless.html
Illinois College,Yes,https://www.ssc.edu/qless/
Illinois Institute of Technology,,https://www.iit.edu/
Illinois Wesleyan University,,https://www.iwu.edu/
Judson University,,https://www.judsonu.edu/
Knox College,,https://www.knox.edu/admission
Lake Forest College,,https://www.lakeforest.edu/
Lakeview College of Nursing,,https://lcn.edu/admissions
Lewis University,,https://www.lewisu.edu/
Lincoln Christian University,,https://lincolnchristian.edu/
Lindenwood University – Belleville,,https://www.lindenwood.edu/
Loyola University,,https://www.luc.edu/finaid/
Lutheran School of Theology at Chicago,,https://lstc.edu/
MacCormac College,Yes,https://www.mesacc.edu/qless
McKendree University,,https://www.mckendree.edu/admission/
Methodist College,,
Midwestern University,,https://www.midwestern.edu/about/offices-and-services-directory/office-of-student-financial-services
Millikin University,,https://www.millikin.edu/
Monmouth College,,https://www.monmouthcollege.edu/offices/registrar/registration-and-advising/
Moody Bible Institute,,https://www.moody.edu/student-services/moody-central/
National Louis University,,https://nl.edu/
National University of Health Sciences,,https://www.nuhs.edu/student-services/support-services/
North Central College,Yes,https://my.nctc.edu/ICS/Admissions/LionUp.jnz
North Park University,,https://www.northpark.edu/mynpu-student/
Northern Baptist Theological Seminary,,https://www.seminary.edu/
Northwestern University,,https://www.northwestern.edu/undergraduate-advising/for-students/connectnu/
Olivet Nazarene University,,https://www.olivet.edu/admissions
Principia College,,https://www.principiacollege.edu/admissions/admitted-students/advising-and-registration
Quincy University,,https://www.quincy.edu/quest-center/
Rockford University,,https://www.rockford.edu/contactus/
Roosevelt University,Yes,https://www.pvamu.edu/qless-enrollment-management/
Rosalind Franklin University of Medicine and Science,,https://www.rosalindfranklin.edu/academics/academic-support-resources/office-of-academic-support/
Rush University,,https://qless.com/queue-management-software-and-the-college-campus/
Saint Anthony College of Nursing,,https://www.osfhealthcare.org/sacn/
University of St. Francis,,https://www.stfrancis.edu/
Saint Xavier University,,https://www.sxu.edu/index.aspx
School of the Art Institute of Chicago,,https://www.saic.edu/
Spertus Institute for Jewish Learning and Leadership,,https://www.spertus.edu/
Toyota Technological Institute at Chicago,,https://www.ttic.edu/
Trinity Christian College,,https://www.trnty.edu/admissions-financial-aid/
Trinity International University,,https://www.tiu.edu/
VanderCook College of Music,,https://www.vandercook.edu/
Wheaton College,,https://www.wheaton.edu/academics/services/academic-advising-office/faqs/
American InterContinental University,,https://www.aiuniv.edu/
Chamberlain University,,https://www.chamberlain.edu/contact-us
Coyne College,,https://www.coynecollege.edu/
DeVry University,,https://www.devry.edu/students/resources-and-tools.html
Fox College,Yes,https://www.crunchbase.com/organization/qless
Illinois Media School,,https://apps.illinoisworknet.com/cis/TrainingPrograms/SchoolInformation/540635?mileage=10
Lincoln Tech,,https://www.lincolntech.edu/
Midwest College of Oriental Medicine,,https://acupuncture.edu/
Midwest Technical Institute,,https://www.midwesttech.edu/
Northwestern College,Yes,https://www.nwacc.edu/enrollment/qlesssystem.aspx
Pacific College of Oriental Medicine,,https://www.pacificcollege.edu/
Rasmussen College,,https://www.rasmussen.edu/
Rockford Career College,,https://www.rockfordcareercollege.edu/
Taylor Business Institute,,https://tbiil.edu/
Universal Technical Institute,,https://www.uti.edu/
University of Phoenix,Yes,https://www.phoenixcollege.edu/current-students/student-support-services/qless
Anabaptist Mennonite Biblical Seminary,,https://www.ambs.edu/
Ancilla College,,https://www.marian.edu/ancilla
Anderson University,Yes,https://www.gvltec.edu/admissions_aid/qless.html
Ball State University,,https://www.bsu.edu/admissions
Bethany Theological Seminary,,https://bethanyseminary.edu/
Bethel University,,https://www.bethel.edu/financial-aid/
Butler University,,https://www.butler.edu/academic-services/
Calumet College of St. Joseph,,https://www.ccsj.edu/
Christian Theological Seminary,,https://www.cts.edu/
College of Court Reporting,,https://collegescorecard.ed.gov/school/?150251-College_of_Court_Reporting_Inc
Concordia Theological Seminary,,http://www.google.com.hk/aclk?sa=l&ai=DChcSEwirqNC-sdH_AhW8NtQBHbWHAPMYABAAGgJvYQ&sig=AOD64_1w4DMGG9fRUNZ4KEfVstGpZIauRQ&ved=2ahUKEwjNw8q-sdH_AhXQlmoFHTYrBAIQ0Qx6BAgMEAE&adurl=
