Name,LivePerson,Website
Global Health College,,https://global.edu/
"HyperLearning Technologies, Inc.",403,https://www.indeed.com/certifications/companies/hyperlearning-technologies-inc-in-virginia-beach-va-5PBVGNAV
Washington University of Science and Technology,,https://it.wustl.edu/help/washu-it-support/
International College of Washington,,https://www.wis.edu/support
Johns Hopkins University,,https://advanced.jhu.edu/current-students/technology-help-support/
Kaplan College,,https://kaplan.com/contact-us
Kings Park University School of Acupuncture and Oriental Medicine,,https://acupuncturepark.com/about
Life Pacific College,403,https://lifepacific.edu/contact/
Lindsey Wilson College School of Professional Counseling,,https://www.lindsey.edu/academics/School-of-Pro-Counseling.cfm
Medtech Institute,403,https://www.indeed.com/certifications/companies/medtech-institute-silver-spring-campus-in-silver-spring-md-VENYVKLQ
Mercyhurst College,,https://www.mercyhurst.edu/
Missouri State University,,https://helpdesk.missouristate.edu/
