Name,Qless,Url
Albertus Magnus College,,https://www.albertus.edu/contact-us/
Asnuntuck Community College,,https://asnuntuck.edu/current-students/distance-learning/bb/
Capital Community College,,https://www.capitalcc.edu/enrollment-services/academic-advising/advising-contact/
Central Connecticut State University,,https://www.ccsu.edu/financialaid/
Charter Oak State College,,https://my.charteroak.edu/ICS/Contact_Information.jnz
Connecticut College,,https://www.conncoll.edu/admission/faq/
Eastern Connecticut State University,,https://www.easternct.edu/financial-aid/index.html
Fairfield University,,https://www.fairfield.edu/undergraduate/financial-aid-and-tuition/
Gateway Community College,,https://www.gatewaycc.edu/
Goodwin University,,https://www.goodwin.edu/
Hartford International University for Religion and Peace,,https://www.hartfordinternational.edu/
Holy Apostles College and Seminary,,https://holyapostles.edu/
Housatonic Community College,,https://www.housatonic.edu/academics/advising-and-student-success-center
Manchester Community College,Yes,https://www.mesacc.edu/qless
Middlesex Community College,,https://www.middlesex.mass.edu/advising/
Mitchell College,,https://mitchell.edu/contact-us/
Naugatuck Valley Community College,,https://nv.edu/Admissions-and-Aid
Northwestern Connecticut Community College,,https://www.nwcc.edu/
Norwalk Community College,,https://norwalk.edu/gpa/academic-advising/
Paier College of Art,,https://www.paier.edu/
Post University,,https://qless.com/queue-management-software-and-the-college-campus/
Quinebaug Valley Community College,,https://qvcc.edu/
Quinnipiac University,,https://www.qu.edu/student-life/support-services/
Sacred Heart University,,https://www.sacredheart.edu/admissions--aid/financial-assistance/
Southern Connecticut State University,,https://inside.southernct.edu/onestop/contact
Three Rivers Community College,,https://www.threerivers.edu/admissions-2/how-to-enroll/booking-appointments/
Trinity College,,https://qless.com/queue-management-for-universities-schools/
Tunxis Community College,,https://tunxis.edu/student-services/academic-advising-center/
United States Coast Guard Academy,,https://uscga.edu/
University of Bridgeport,,https://www.bridgeport.edu/
University of Connecticut,,https://advising.uconn.edu/
University of Hartford,,https://www.hartford.edu/
University of New Haven,,https://www.newhaven.edu/
University of Saint Joseph,,https://www.usj.edu/
Wesleyan University,,https://www.wesleyan.edu/finaid/
Western Connecticut State University,,https://www.wcsu.edu/finaid/
Yale University,,https://finaid.yale.edu/
