Name,Qless,Url
University of Central Arkansas,,https://uca.edu/
University of the Ozarks,,https://ozarks.edu/
Williams Baptist University,,https://williamsbu.edu/
Delaware College of Art and Design,,https://dcad.edu/
Delaware State University,,https://www.desu.edu/
Delaware Technical Community College,,https://www.dtcc.edu/
Goldey–Beacom College,,https://www.gbc.edu/admissions/apply/live_online.html
University of Delaware,,https://www.udel.edu/
Widener University Delaware Law School,,https://delawarelaw.widener.edu/
Wilmington University,,https://www.wilmu.edu/
Florida A&M University,,https://www.famu.edu/
Florida Atlantic University,,https://www.fau.edu/uas/
Florida Gulf Coast University,,https://www.fgcu.edu/
Florida International University,Yes,https://onestop.fiu.edu/_assets/kiosks/
Florida Polytechnic University,,https://floridapoly.edu/admissions-and-aid/faqs.php
Florida State University,,https://coss.fsu.edu/academics/undergrad/how-to-schedule-an-appointment/
New College of Florida,Yes,https://www.broward.edu/students/qless/
University of Central Florida,,https://www.ucf.edu/students/
University of Florida,,https://www.sfa.ufl.edu/contact-sfa/contact-your-adviser/
University of North Florida,Yes,https://www.unf.edu/admissions/Q-UNF.html
University of South Florida,,https://qless.com/queue-management-for-universities-schools/
University of West Florida,,https://uwf.edu/
Broward College,Yes,https://www.broward.edu/students/qless/
Chipola College,,https://www.chipola.edu/
College of Central Florida,,https://www.cf.edu/
Daytona State College,,https://www.daytonastate.edu/
Eastern Florida State College,,https://www.easternflorida.edu/
Florida Gateway College,,https://www.fgc.edu/
College of the Florida Keys,,https://www.cfk.edu/
Florida SouthWestern State College,Yes,https://www.fsw.edu/qless
Florida State College at Jacksonville,Yes,https://www.fscj.edu/student-services/academic-advising/advising-services
Gulf Coast State College,,https://www.gulfcoast.edu/admissions/advising/index.html
Hillsborough Community College,,https://www.hccfl.edu/about-us/contact-us
Indian River State College,Yes,https://irsc.edu/admissions/qless.html
Lake–Sumter State College,,https://www.lssc.edu/
Miami Dade College,,https://www.mdc.edu/advisement/contact-an-advisor/
North Florida Community College,Yes,https://www.unf.edu/admissions/Q-UNF.html
Northwest Florida State College,,https://www.nwfsc.edu/admissions/
Palm Beach State College,,https://www.palmbeachstate.edu/advising/
Pasco–Hernando State College,,https://phsc.edu/about/departments
Pensacola State College,,https://www.pensacolastate.edu/pirateq/
Polk State College,,https://www.polk.edu/advising/
Santa Fe College,,https://www.sfcollege.edu/advisement/appointment/
Seminole State College of Florida,,https://www.seminolestate.edu/
South Florida State College,,https://www.fscj.edu/campuses/south-campus
St. Johns River State College,,https://sjrstate.edu/
St. Petersburg College,,https://www.spcollege.edu/current-students/student-affairs/student-support-resources/online-services
"State College of Florida, Manatee–Sarasota",,https://www.scf.edu/
Tallahassee Community College,,https://www.tcc.fl.edu/about/college/information-technology/software/eagleq/
Valencia College,,https://valenciacollege.edu/students/student-services/
George Stone Technical Center,,https://www.georgestonecenter.com/
Argosy University,,https://www.ohe.state.mn.us/mPg.cfm?pageID=2340
Atlantis University,,https://atlantisuniversity.edu/
Beacon College,,https://www.beaconcollege.edu/
Carlos Albizu University,,https://www.albizu.edu/
Columbia College,,https://www.youtube.com/watch?v=BUaIAjBGTYE
DeVry University,,https://www.devry.edu/students/resources-and-tools.html
Embry–Riddle Aeronautical University,,https://worldwide.erau.edu/
Flagler College,,https://www.flagler.edu/admissions--aid/
Florida Institute of Technology,,https://www.fit.edu/
Florida National University,,https://www.fnu.edu/
Herzing University,,https://www.herzing.edu/resources/student-services
Hodges University,,https://www.hodges.edu/
Jacksonville University,,https://www.ju.edu/financialservices/
Keiser University,,https://www.keiseruniversity.edu/student-services/
Lake Erie College of Osteopathic Medicine,,https://lecom.edu/
Lynn University,,https://www.lynn.edu/campus-directory/departments/student-financial-services
Millennia Atlantic University,,https://www.maufl.edu/
Miami International University of Art & Design,,https://www.artinstitutes.edu/miami
Miami Regional University,,https://mru.edu/
National Louis University,,https://nl.edu/
National University of Medical Sciences,Yes,https://www.mesacc.edu/qless
Nova Southeastern University,,https://www.nova.edu/financialaid/contactus/index.html
Nexus University,Yes,https://dailynexus.com/2019-04-15/qless-to-make-advising-more-accessible/
Okan International University,,https://www.okan.edu.tr/en/international/
Rasmussen College,,https://www.rasmussen.edu/
Rollins College,,https://www.rollins.edu/apply/
San Ignacio University,,https://www.sanignaciouniversity.edu/
Schiller International University,,https://schiller.edu/
Southeastern College,,https://qless.com/online-appointment-booking-tools-and-higher-education/
Southern Technical College,,https://qless.com/queue-management-for-universities-schools/
Springfield College,,https://springfield.edu/admissions
Stetson University,,https://www.stetson.edu/
University of Miami,Yes,https://my.barry.edu/current-students/news/article.html?id=32929
University of Phoenix,Yes,https://www.phoenixcollege.edu/current-students/student-support-services/qless
University of Tampa,,https://www.ut.edu/
Webber International University,,https://www.webber.edu/
Western Michigan University Cooley Law School,,https://www.cooley.edu/
AdventHealth University,,https://www.ahu.edu/
Ave Maria University,,https://www.avemaria.edu/admissions/
Baptist College of Florida,,https://www.baptistcollege.edu/
